IncidntNum,Category,Descript,DayOfWeek,Date,Time,Resolution,Address
130542312,ASSAULT,BATTERY,Tuesday,07/02/2013,00:01,NONE,DIVISADERO ST / FULTON ST
130528889,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,06/27/2013,20:22,PSYCHOPATHIC CASE,900 Block of CORBETT AV
70437546,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,04/29/2007,09:30,NONE,600 Block of GEARY ST
120036905,ASSAULT,BATTERY,Friday,01/13/2012,20:58,NONE,1400 Block of ARMSTRONG AV
130505285,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,06/19/2013,12:36,NONE,1400 Block of CALIFORNIA ST
130287847,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,04/08/2013,11:30,NONE,0 Block of PHELAN AV
80461397,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,05/02/2008,19:25,"ARREST, CITED",NAPLES ST / PERU AV
120935288,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,11/18/2012,21:05,"ARREST, BOOKED",0 Block of NATICK ST
90098930,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,01/27/2009,17:45,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ
30135031,SUSPICIOUS OCC,SUSPICIOUS PERSON,Sunday,02/02/2003,07:13,NONE,POST ST / VAN NESS AV
50802066,NON-CRIMINAL,LOST PROPERTY,Wednesday,07/13/2005,08:00,NONE,2200 Block of GEARY BL
130071117,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Friday,01/25/2013,07:45,NONE,200 Block of DIVISADERO ST
90574601,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Wednesday,06/03/2009,22:21,"ARREST, BOOKED",200 Block of 9TH ST
40140600,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,02/04/2004,18:10,NONE,800 Block of LA PLAYA ST
126078028,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,06/02/2012,13:00,NONE,0 Block of HERMANN ST
110103003,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/02/2011,18:00,NONE,1000 Block of GREEN ST
80399641,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,04/14/2008,23:30,NONE,ANZA ST / 9TH AV
100750551,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,08/13/2010,17:00,NONE,100 Block of MAIDEN LN
130974113,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Sunday,11/17/2013,07:05,"ARREST, BOOKED",1500 Block of VANNESS AV
61104724,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,10/16/2006,12:37,NONE,100 Block of GGBRIDGE HY
60336704,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Tuesday,03/28/2006,11:26,NONE,400 Block of TOWNSEND ST
136080580,NON-CRIMINAL,LOST PROPERTY,Friday,05/03/2013,12:10,NONE,MISSION ST / 2ND ST
71091650,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,10/24/2007,13:30,NONE,WEBSTER ST / CHESTNUT ST
80873996,OTHER OFFENSES,PROBATION VIOLATION,Monday,08/18/2008,14:17,"ARREST, BOOKED",500 Block of CAMPBELL AV
130821354,WARRANTS,WARRANT ARREST,Sunday,09/29/2013,11:20,"ARREST, BOOKED",0 Block of TURK ST
120421209,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,05/27/2012,22:45,COMPLAINANT REFUSES TO PROSECUTE,100 Block of FILLMORE ST
90758087,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Sunday,07/26/2009,02:58,"ARREST, BOOKED",1000 Block of MARKET ST
51421710,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,12/19/2005,12:45,PSYCHOPATHIC CASE,3800 Block of 17TH ST
130035577,WARRANTS,WARRANT ARREST,Sunday,01/13/2013,15:26,"ARREST, BOOKED",1600 Block of NEWCOMB AV
130034767,WARRANTS,WARRANT ARREST,Sunday,01/13/2013,08:58,"ARREST, BOOKED",POWELL ST / MARKET ST
61366491,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,12/26/2006,18:53,"ARREST, BOOKED",300 Block of JOOST AV
86071857,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/04/2008,11:00,NONE,100 Block of HAWTHORNE ST
100302817,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,04/01/2010,01:45,NONE,POTRERO AV / 18TH ST
120193210,NON-CRIMINAL,LOST PROPERTY,Monday,03/05/2012,15:49,NONE,200 Block of OFARRELL ST
91019717,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,10/02/2009,22:40,NONE,OLIVE ST / FRANKLIN ST
66092390,NON-CRIMINAL,LOST PROPERTY,Tuesday,08/22/2006,14:00,NONE,MARKET ST / 10TH ST
120201590,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,03/05/2012,10:34,NONE,300 Block of 32ND AV
130634919,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,08/01/2013,14:10,NONE,200 Block of WILLIAMS AV
110334537,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,04/25/2011,02:00,NONE,2700 Block of VANNESS AV
81345378,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,12/17/2008,19:00,NONE,WASHINGTON ST / TAYLOR ST
31449776,WARRANTS,WARRANT ARREST,Saturday,12/13/2003,14:07,"ARREST, BOOKED",0 Block of GILBERT ST
